fecha_actualizacion,id_eess,id_producto_bsa,saldo_octano,saldo_bsa,saldo_planta
2026-02-02 00:24:55,1724,2,33194.64,3361.69,49148.212
2026-02-02 00:24:55,1724,3,35007.97,0.0,35007.97
2026-02-02 00:24:55,1724,7,-103708.887,25201.71,-93183.05
2026-02-02 00:24:55,1744,2,-92355.139,5627.933,-92355.139
2026-02-02 00:24:55,1744,3,-152705.056,0.0,-152705.056
2026-02-02 00:24:55,1744,7,-1775052.234,12359.808,-1761862.882
2026-02-02 00:24:55,1744,10,-8144.84,0.0,-8209.571
2026-02-02 00:24:55,1766,3,-775389.11,0.0,-775389.11
2026-02-02 00:24:55,1766,7,-2896335.298,1715.79,-2874647.67
2026-02-02 00:24:55,1806,2,-316595.6043,8878.6754,-316595.6043
2026-02-02 00:24:55,1806,3,-52550.0547,0.0,-52550.0547
2026-02-02 00:24:55,1806,7,-1502190.993,15276.2243,-1502190.993
2026-02-02 00:24:55,1806,10,-220138.317,0.0,-220138.317
2026-02-02 00:24:55,1844,2,-174106.3,18032.34,-174106.3
2026-02-02 00:24:55,1844,3,-185774.62,0.0,-185774.62
2026-02-02 00:24:55,1844,7,-1200082.389,10704.95,-1190907.27
2026-02-02 00:24:55,1844,10,-24733.832,0.0,-24224.27
2026-02-02 00:24:55,1845,3,-209506.34,0.0,-209506.34
2026-02-02 00:24:55,1845,7,-674920.364,12609.87,-661720.17
2026-02-02 00:24:55,1846,3,-162887.449,0.0,-162887.449
2026-02-02 00:24:55,1846,7,-310753.784,2917.5,-316265.494
2026-02-02 00:24:55,1887,2,-999497.605,5343.512,-999497.605
2026-02-02 00:24:55,1887,3,-171646.086,0.0,-171646.086
2026-02-02 00:24:55,1887,7,-3895115.88,17324.512,-3919304.134
2026-02-02 00:24:55,1887,10,-45184.696,0.0,-66998.884
2026-02-02 00:24:55,1924,2,-233080.2699,9028.77,-233080.2699
2026-02-02 00:24:55,1924,10,-26864.6731,0.0,-21427.1001
2026-02-02 00:24:55,1926,2,-1678953.7922,29080.2102,-1678953.7922
2026-02-02 00:24:55,1926,3,25153.8537,0.0,25153.8537
2026-02-02 00:24:55,1926,7,-465656.0939,21130.3886,-465656.0939
2026-02-02 00:24:55,1926,10,-367462.3416,0.0,-367462.3416
2026-02-02 00:24:55,1927,2,-750215.626,4767.839,-650215.626
2026-02-02 00:24:55,1927,3,-133555.486,0.0,-133555.486
2026-02-02 00:24:55,1927,7,-3488139.1818,9064.806,-3427318.0938
2026-02-02 00:24:55,1928,2,37118.2301,2.11,47118.2301
2026-02-02 00:24:55,1928,3,-13938.851,0.0,-13938.851
2026-02-02 00:24:55,1928,7,-21478.72,23671.81,-9809.02
2026-02-02 00:24:55,1928,10,14007.52,0.0,53773.42
2026-02-02 00:24:55,1944,3,-198699.46,0.0,-198699.46
2026-02-02 00:24:55,1944,7,-1076671.418,479.0,-1062871.96
2026-02-02 00:24:55,1945,2,205790.874,43060.229,205790.874
2026-02-02 00:24:55,1945,10,132265.715,0.0,146700.179
2026-02-02 00:24:55,1964,2,2373252.5326,28816.75,2373252.5326
2026-02-02 00:24:55,1964,3,41603.71,0.0,41603.71
2026-02-02 00:24:55,1964,7,2655443.8604,13030.86,2655443.8604
2026-02-02 00:24:55,1964,10,203413.3281,0.0,203413.3281
2026-02-02 00:24:55,1984,2,6561.34,15442.3432,6561.34
2026-02-02 00:24:55,1984,3,349.91,0.0,349.91
2026-02-02 00:24:55,1984,7,-8913.708,22238.6856,-7287.772
2026-02-02 00:24:55,1984,10,-799.907,0.0,3791.093
2026-02-02 00:24:55,2190,2,-1030710.9169,27992.49,-1030710.9169
2026-02-02 00:24:55,2190,3,-208773.26,0.0,-208768.23
2026-02-02 00:24:55,2190,7,-828162.791,1428.31,-819359.01
2026-02-02 00:24:55,2190,10,106988.8584,0.0,115730.1794
2026-02-02 00:24:55,2193,2,-4352577.4096,42809.75,-4352577.4096
2026-02-02 00:24:55,2193,3,-763055.86,0.0,-763055.86
2026-02-02 00:24:55,2193,7,-2904971.025,214.54,-2882335.39
2026-02-02 00:24:55,2193,10,220732.756,0.0,235271.9001
2026-02-02 00:24:55,2204,2,-209213.028,30200.842,-209213.028
2026-02-02 00:24:55,2204,3,-39252.836,0.0,-39252.836
2026-02-02 00:24:55,2204,7,-240358.921,23672.461,-228480.401
2026-02-02 00:24:55,2204,10,-35704.216,0.0,-4064.438
2026-02-02 00:24:55,2205,2,-540171.732,503.319,-540171.732
2026-02-02 00:24:55,2205,10,22018.999,0.0,20430.706
2026-02-02 00:24:55,2207,2,-117700.625,19817.121,-117700.625
2026-02-02 00:24:55,2207,3,-10398.41,0.0,-10398.41
2026-02-02 00:24:55,2207,7,817552.489,29275.636,828082.977
2026-02-02 00:24:55,2207,10,110091.474,0.0,117985.789
2026-02-02 00:24:55,2208,2,-64911.4336,67737.455,-64911.4336
